SHA,Issue URL,Processed At
bddc8bb3f357c676d76c0c1d71fae113b798c7ce,https://github.com/smorce/JUICE/issues/8,2024-08-01T17:10:57.032411
228f2deb2d06c4662be5112491eddfe22f491147,https://github.com/smorce/JUICE/issues/9,2024-08-01T17:11:02.069873
0ee87ac0e16c83a006378ddcac7330a3c3041234,https://github.com/smorce/JUICE/issues/10,2024-08-01T17:11:07.637809
ece60489420cc8c12c071eea615764a627f43962,https://github.com/smorce/JUICE/issues/11,2024-08-01T17:11:12.275829
36e2ebfb4d49766715d6500c6fb3c247ca31a70a,https://github.com/smorce/JUICE/issues/12,2024-08-01T17:11:18.032957
be9c798119516e4e817e5c1f255ad75073f76a28,https://github.com/smorce/JUICE/issues/13,2024-08-01T17:11:23.517257
0201198bc157f4dcc17e2a866f921f1b51758e13,https://github.com/smorce/JUICE/issues/14,2024-08-01T17:11:28.810160
fc51d89d698592b4846463c2ae0177ea68b9016f,https://github.com/smorce/JUICE/issues/15,2024-08-01T17:11:33.840875
911625690f5dfb7a00ed96611c6cfdf3ffbc2991,https://github.com/smorce/JUICE/issues/16,2024-08-01T17:11:39.299191
d2cfb3775e6572d93ffd55b51cac951adc66d79c,https://github.com/smorce/JUICE/issues/17,2024-08-01T17:11:44.206877
7de2769c71248a1ec261e042c73173944e60536b,https://github.com/smorce/JUICE/issues/18,2024-08-01T17:11:50.003726
ac02fa31ab9f4d6245a2b2890c005f84f18704b2,https://github.com/smorce/JUICE/issues/19,2024-08-01T17:11:55.364589
2a1c5d56db0f8d994fc7829bc29af325119b153c,https://github.com/smorce/JUICE/issues/20,2024-08-01T17:12:00.896817
e74dbbfa0f0a0afa9b34850262804b8602ef2daa,https://github.com/smorce/JUICE/issues/21,2024-08-01T17:12:05.879009
07cd8a59ea19125a42678456fa54984fd548fa1d,https://github.com/smorce/JUICE/issues/22,2024-08-01T17:12:11.553446
255b77fbf07d40132b25f73317928644ad74b28a,https://github.com/smorce/JUICE/issues/23,2024-08-01T17:12:15.949819
87ca0abaa3eecbc07f4d5c2dc3a431edf66776b2,https://github.com/smorce/JUICE/issues/24,2024-08-01T17:12:21.449028
01e1eb9903541a63637dbcf0818b22401f056b74,https://github.com/smorce/JUICE/issues/25,2024-08-01T17:12:26.427759
aa6929a5a24d3efbbabda0088fe9658928d6605d,https://github.com/smorce/JUICE/issues/26,2024-08-01T17:12:31.376698
e1c057841dfea445df33686cb7245d11e21c9381,https://github.com/smorce/JUICE/issues/27,2024-08-01T17:12:36.528145
15dfbce505312867a83a8a2b8f7d55b7f6a79bf4,https://github.com/smorce/JUICE/issues/28,2024-08-01T17:12:42.027694
9a16a26be25b982df16f0e7b24a3508016f20514,https://github.com/smorce/JUICE/issues/29,2024-08-01T17:12:47.468792
3d8bb0482b285d7f2386671d41d304df64b07b8f,https://github.com/smorce/JUICE/issues/30,2024-08-01T17:12:53.316155
b19231d65cc012a78b86ccfe94b7ba420d82f45b,https://github.com/smorce/JUICE/issues/31,2024-08-01T17:12:58.580066
17a8df51b22d5e5a6391f812c23aa21a33fea458,https://github.com/smorce/JUICE/issues/32,2024-08-01T17:13:03.930104
3402ae216b5e4a5538d75fc658c34a7cb8fe1bfc,https://github.com/smorce/JUICE/issues/33,2024-08-01T17:13:08.962356
118e39a81c312bf75d0f4f4922e650a549ec1d6f,https://github.com/smorce/JUICE/issues/34,2024-08-01T17:13:14.083621
e7c6b5cd37a59c5aef8bf6f82943513e4e5004a5,https://github.com/smorce/JUICE/issues/35,2024-08-01T17:13:19.167435
8074313d0cc22c32dea9c48d1d07d2c5432808fe,https://github.com/smorce/JUICE/issues/36,2024-08-01T17:13:24.208529
21bc224e701530f1a4ba17bdc723ad0d10e3d0ad,https://github.com/smorce/JUICE/issues/37,2024-08-01T17:13:30.937660
d0885ef7ab4698ff3e882a0e77effcf96287f96b,https://github.com/smorce/JUICE/issues/38,2024-08-01T17:13:36.162029
3d16d216ae5ad80dddd371261c5957c5b8e0b7ef,https://github.com/smorce/JUICE/issues/39,2024-08-01T17:13:41.206439
081e3268460bdf239b00a490c0a94762fbeb4ce7,https://github.com/smorce/JUICE/issues/40,2024-08-01T17:13:45.845347
7015080208abc0275961994153128c6be0a18ca8,https://github.com/smorce/JUICE/issues/41,2024-08-01T17:13:50.578707
bac8475ced8672f917af15906eda81121617c912,https://github.com/smorce/JUICE/issues/42,2024-08-01T17:13:55.807109
7fedd6ab21a14d571aba1f3f62865dd4bab774f9,https://github.com/smorce/JUICE/issues/43,2024-08-01T17:14:01.074064
a23c762663a860c5c857fe5522fcae08b99f5e2d,https://github.com/smorce/JUICE/issues/44,2024-08-01T17:14:06.214880
4ac9ba968b4c3ed08d3ac6a1cf66d7685f5db81c,https://github.com/smorce/JUICE/issues/45,2024-08-01T17:14:11.517790
976428d666467cc0876e282e313835352e7328ea,https://github.com/smorce/JUICE/issues/46,2024-08-01T17:14:16.276030
3b14a1faf16d82ba46a41a077b27c76ddd6f2a3b,https://github.com/smorce/JUICE/issues/47,2024-08-01T17:14:21.607493
3fcb4c75dd0905e4112638d5d62509f1f9d9376c,https://github.com/smorce/JUICE/issues/48,2024-08-01T17:14:25.768774
e88b3c92bd11040a4f279d54c9e42740fba9af81,https://github.com/smorce/JUICE/issues/49,2024-08-01T17:14:30.662747
481ef15485004ab8cf83d57c6328943bbd3b0d84,https://github.com/smorce/JUICE/issues/50,2024-08-01T17:14:35.497539
9459843367a1639c698b0536ea1481a0e582fa6f,https://github.com/smorce/JUICE/issues/51,2024-08-01T17:14:40.708968
6d2125a964f47c0a0069ebb9cae500f480270b36,https://github.com/smorce/JUICE/issues/52,2024-08-02T02:00:46.387924
4781f712473a8af2613d7a45ceeadb1690e8ebfc,https://github.com/smorce/JUICE/issues/53,2024-08-02T02:00:52.158057
3c96d478026c47c745e3639b665ecc2b36ff21c2,https://github.com/smorce/JUICE/issues/54,2024-08-02T02:00:58.941930
5a0b92bdb7959425923194bde09d127a4e48be78,https://github.com/smorce/JUICE/issues/56,2024-08-02T17:00:18.064642
5e274d6d145b5b4ccda7195f5bb711445cffe579,https://github.com/smorce/JUICE/issues/57,2024-08-02T17:00:24.342203
e9fcae2e93f4fe412e3274c202a0c77ee6e535ad,https://github.com/smorce/JUICE/issues/58,2024-08-02T17:00:29.517058
6ab2f8f9cce0a93c4aecf7b7109a448d7a060560,https://github.com/smorce/JUICE/issues/59,2024-08-02T17:00:34.815256
f07b1f59a03da8fd9d1353ddc6eb0b2ffd7b1102,https://github.com/smorce/JUICE/issues/60,2024-08-02T17:00:40.561980
86a6e3ef38f91e49362b30e392b681a019319bf4,https://github.com/smorce/JUICE/issues/61,2024-08-02T17:00:46.293724
7cedaf2b41418da210ebe81b74a11c84ecf36702,https://github.com/smorce/JUICE/issues/62,2024-08-02T17:00:51.171766
